time [h]	Qdot1 [W]
872	60593.3
873	41169.4
874	33545.6
875	28979.1
876	33151.3
877	30906.2
878	26147.1
879	25168.2
880	27332.0
881	40518.9
882	47376.1
883	37155.5
884	32646.0
885	29227.8
886	26506.7
887	24474.8
888	22885.7
889	21439.9
890	20195.0
891	19178.0
892	22295.1
893	72655.4
894	55148.0
895	49769.0
896	53708.6
897	35971.0
898	29517.9
899	25787.0
900	30845.5
901	31593.2
902	26136.1
903	25515.7
904	28117.9
905	40494.3
906	45172.6
907	35190.0
908	30932.4
909	27646.2
910	25205.8
911	23375.5
912	21849.3
913	20735.0
914	19782.6
915	18994.1
916	21958.9
917	68642.6
918	52576.6
919	48476.6
920	53840.2
921	37459.0
922	31260.5
923	27410.2
924	31517.8
925	31853.8
926	27759.8
927	28340.3
928	31656.5
929	44998.0
930	46890.2
931	35779.4
932	30956.8
933	27588.6
934	25035.5
935	23138.1
936	21609.0
937	20473.5
938	19498.9
939	18721.3
940	21423.0
941	66613.0
942	51105.4
943	46998.5
944	51612.0
945	36264.1
946	27882.0
947	22372.3
948	24702.7
949	22737.4
950	18698.9
951	18361.3
952	20514.4
953	31526.5
954	36395.4
955	29438.8
956	26071.3
957	22911.8
958	20764.8
959	19374.8
960	18451.1
961	17506.1
962	16662.3
963	16050.3
964	15045.2
965	14344.6
966	13772.1
967	13821.6
968	12541.5
969	9276.1
970	7594.0
971	7144.0
972	7258.4
973	6915.2
974	7655.9
975	8226.0
976	9327.2
977	10361.5
978	10971.0
979	10953.1
980	10755.4
981	10649.9
982	10401.4
983	10293.5
984	10278.1
985	10297.6
986	10441.6
987	10417.3
988	10452.6
989	10656.2
990	11039.6
991	11143.8
992	10969.1
993	10026.2
994	7831.3
995	7007.5
996	6789.9
997	6152.9
998	7369.5
999	8414.1
1000	8734.4
1001	9595.2
1002	11321.6
1003	11840.3
1004	12001.2
1005	12342.3
1006	12309.2
1007	12319.6
1008	12304.4
1009	12360.4
1010	12336.2
1011	12257.5
1012	18325.1
1013	105217.0
1014	74695.1
1015	59355.8
1016	49674.5
1017	37685.1
1018	30251.9
1019	25600.3
1020	30342.9
1021	27769.8
1022	20465.1
1023	16639.0
1024	14471.0
1025	17380.5
1026	18803.9
1027	18861.0
1028	17946.5
1029	17373.7
1030	16659.5
1031	16053.9
1032	15753.3
1033	15152.9
1034	14490.0
1035	14131.7
1036	15298.8
1037	53848.3
1038	41889.1
1039	37064.4
1040	34023.7
1041	22899.7
1042	16673.2
1043	15234.9
1044	19791.1
1045	19073.8
1046	16730.1
1047	15348.9
1048	16550.6
1049	26481.7
1050	31880.0
1051	26672.9
1052	24432.1
1053	22556.5
1054	20938.4
1055	19361.8
1056	17879.0
1057	16451.0
1058	15227.8
1059	14164.0
1060	15118.6
1061	49173.0
1062	37890.7
1063	34353.0
1064	31778.5
1065	20654.2
1066	18169.5
1067	19067.4
1068	24499.7
1069	23527.6
1070	17047.5
1071	14906.3
1072	15859.2
1073	23573.6
1074	27345.2
1075	22872.0
1076	21202.9
1077	19677.0
1078	18293.2
1079	17172.3
1080	16075.8
1081	15413.5
1082	14797.0
1083	14403.3
1084	16102.0
1085	52327.3
1086	40618.3
1087	38138.5
1088	39393.7
1089	26209.5
1090	20743.5
1091	17246.5
1092	17570.5
1093	14181.4
1094	10092.9
1095	8363.2
1096	9142.0
1097	13065.8
1098	17397.8
1099	17233.2
1100	17299.9
1101	16726.8
1102	16474.5
1103	16346.1
1104	16019.3
1105	15947.2
1106	15437.6
1107	15099.8
1108	16362.2
1109	43716.6
1110	35245.2
1111	34800.9
1112	38334.1
1113	25589.5
1114	18346.3
1115	13967.2
1116	14403.3
1117	10791.2
1118	5956.6
1119	4394.1
1120	4989.8
1121	9142.3
1122	13813.8
1123	14593.1
1124	15638.5
1125	15774.0
1126	15412.3
1127	14820.5
1128	14381.5
1129	13762.1
1130	13279.4
1131	12755.7
1132	12370.5
1133	12075.4
1134	11843.8
1135	11557.3
1136	11137.4
1137	10629.9
1138	9362.2
1139	7586.5
1140	7074.4
1141	7789.1
1142	7941.4
1143	8030.2
1144	9162.7
1145	10170.9
1146	10948.6
1147	11285.9
1148	11488.0
1149	11469.5
1150	11522.6
1151	11546.6
