time [h]	EFH1 [W]
1438	3587.78
1439	226.43
1440	253.83
1441	273.23
1442	283.80
1443	304.55
1444	324.89
1445	7385.28
1446	6841.44
1447	5307.35
1448	4482.71
1449	3800.52
1450	3263.81
1451	2661.07
1452	2288.49
1453	2094.42
1454	2002.42
1455	2339.38
1456	3565.25
1457	4318.95
1458	4467.99
1459	4590.95
1460	5127.72
1461	4609.92
1462	4832.83
1463	324.19
1464	341.72
1465	350.19
1466	354.65
1467	365.09
1468	357.62
1469	7454.45
1470	7337.58
1471	6242.40
1472	5191.68
1473	4127.02
1474	3442.69
1475	3639.54
1476	2912.38
1477	2004.67
1478	1926.93
1479	2284.33
1480	3363.43
1481	4080.97
1482	4238.77
1483	4200.53
1484	4902.65
1485	4526.05
1486	4877.56
1487	334.05
1488	360.69
1489	383.49
1490	400.19
1491	475.05
1492	756.29
1493	7569.36
1494	7693.93
1495	7320.19
1496	6630.36
1497	5460.23
1498	3739.63
1499	2973.57
1500	3184.47
1501	3496.07
1502	3518.58
1503	2984.65
1504	3284.41
1505	4244.29
1506	4530.23
1507	4767.29
1508	5528.42
1509	5288.45
1510	5647.21
1511	378.28
1512	394.38
1513	412.35
1514	479.53
1515	738.79
1516	964.68
1517	7603.41
1518	7693.93
1519	7410.23
1520	7082.87
1521	6309.65
1522	5626.45
1523	5101.19
1524	4700.82
1525	4337.12
1526	4161.78
1527	4625.38
1528	5277.79
1529	6019.55
1530	6271.47
1531	6315.99
1532	6626.89
1533	6059.11
1534	6035.94
1535	389.10
1536	407.08
1537	404.10
1538	405.09
1539	454.66
1540	620.44
1541	7541.70
1542	7661.83
1543	7186.63
1544	6812.09
1545	5583.33
1546	4728.70
1547	3781.43
1548	2987.28
1549	2799.57
1550	2536.09
1551	3060.95
1552	3849.18
1553	4412.16
1554	4395.34
1555	4310.12
1556	5198.79
1557	4810.67
1558	5193.32
1559	352.59
1560	380.74
1561	397.90
1562	405.56
1563	446.52
1564	620.74
1565	7538.85
1566	7682.17
1567	7016.60
1568	6192.23
1569	4588.67
1570	2947.94
1571	2484.45
1572	2547.74
1573	2081.12
1574	1877.08
1575	2064.60
1576	2712.77
1577	4042.68
1578	4388.75
1579	4409.62
1580	5096.51
1581	4676.90
1582	4973.68
1583	326.81
1584	346.76
1585	362.73
1586	378.38
1587	425.03
1588	641.88
1589	7559.07
1590	7649.15
1591	6723.47
1592	5120.82
1593	3694.38
1594	2967.72
1595	2682.42
1596	2461.38
1597	2207.50
1598	1908.37
1599	2152.25
1600	3004.43
1601	4253.89
1602	4622.68
1603	4512.45
1604	5094.29
1605	4755.47
1606	5043.83
1607	339.20
1608	356.17
1609	391.18
1610	428.77
1611	625.68
1612	873.37
1613	7568.76
1614	7601.68
1615	6652.08
1616	4846.14
1617	3279.02
1618	2914.77
1619	2641.40
1620	2202.03
1621	1705.47
1622	1238.46
1623	1119.65
1624	1373.07
1625	2218.34
1626	2893.97
1627	3357.85
1628	4276.90
1629	4042.42
1630	4580.15
1631	328.38
1632	349.27
1633	369.59
1634	433.71
1635	679.41
1636	890.49
1637	7561.69
1638	7521.68
1639	6616.90
1640	5465.31
1641	3972.10
1642	3891.31
1643	3733.81
1644	3456.91
1645	2430.81
1646	1950.85
1647	2074.96
1648	3132.43
1649	3688.82
1650	3780.49
1651	3549.83
1652	3970.80
1653	3442.44
1654	3662.76
1655	219.95
1656	234.72
1657	243.35
1658	246.11
1659	246.11
1660	264.73
1661	6755.77
1662	5776.04
1663	4686.67
1664	4281.83
1665	3128.52
1666	1642.33
1667	1317.85
1668	1076.02
1669	757.97
1670	652.32
1671	508.79
1672	760.57
1673	1324.72
1674	1780.32
1675	2197.61
1676	2972.99
1677	2607.09
1678	3086.39
1679	229.16
1680	269.29
1681	297.17
1682	297.83
1683	303.83
1684	316.99
1685	6937.27
1686	6422.29
1687	4883.48
1688	3985.21
1689	2723.17
1690	2145.17
1691	1193.02
1692	830.38
1693	551.63
1694	454.78
1695	470.93
1696	613.09
1697	931.45
1698	1284.86
1699	1674.32
1700	2388.60
1701	1934.31
1702	2356.34
1703	153.19
1704	187.07
1705	210.67
1706	231.66
1707	258.63
1708	278.58
1709	6651.61
1710	6281.66
1711	4198.81
1712	2230.12
1713	1382.15
1714	980.36
1715	763.23
1716	526.01
1717	339.32
1718	298.86
1719	317.27
1720	457.21
1721	734.79
1722	940.05
1723	1176.79
1724	1959.07
1725	1423.77
1726	1743.86
1727	139.00
1728	183.33
1729	214.09
1730	236.26
1731	247.09
1732	250.74
1733	6196.84
1734	5842.16
1735	3855.87
1736	2116.75
1737	1171.68
1738	961.01
1739	932.33
1740	698.85
1741	440.12
1742	324.31
1743	269.77
1744	386.95
1745	564.88
1746	729.06
1747	1016.46
1748	1751.57
1749	1240.67
1750	1452.36
1751	80.33
1752	135.24
1753	169.90
1754	186.78
1755	185.94
1756	197.44
1757	5167.94
1758	4508.90
1759	3189.60
1760	2525.95
1761	1833.71
1762	1519.85
1763	992.66
1764	408.95
1765	242.31
1766	257.21
1767	248.26
1768	352.01
1769	510.05
1770	651.40
1771	945.08
1772	1709.29
1773	1269.26
1774	1473.42
1775	42.11
1776	113.35
1777	146.71
1778	159.72
1779	184.75
1780	207.81
1781	5458.58
1782	4597.60
1783	2625.23
1784	2054.24
1785	1345.05
1786	694.53
1787	432.70
1788	255.26
1789	199.22
1790	225.53
1791	301.38
1792	583.72
1793	851.44
1794	989.00
1795	1173.91
1796	1812.71
1797	1335.85
1798	1408.44
1799	96.83
1800	123.01
1801	147.11
1802	162.31
1803	166.64
1804	174.34
1805	4457.88
1806	3595.02
1807	2769.00
1808	2547.07
1809	2085.05
1810	1914.92
1811	1729.04
1812	1696.19
1813	1405.78
1814	1328.23
1815	1306.59
1816	1394.33
1817	1709.66
1818	1843.14
1819	1700.77
1820	2446.96
1821	1971.36
1822	2139.18
1823	130.77
1824	143.13
1825	154.18
1826	172.32
1827	195.04
1828	208.21
1829	5571.63
1830	4421.70
1831	3044.35
1832	2685.09
1833	1733.35
1834	1820.20
1835	1695.38
1836	1402.92
1837	688.97
1838	466.38
1839	397.48
1840	744.51
1841	1384.09
1842	1712.15
1843	1905.53
1844	2678.04
1845	2031.29
1846	2167.19
1847	131.03
1848	153.14
1849	201.35
1850	240.39
1851	250.69
1852	273.12
1853	6778.93
