time [h]	MFH4.0 [W]
1033	1654.16
1034	1663.19
1035	1742.34
1036	1823.29
1037	35510.24
1038	30027.30
1039	24424.58
1040	22581.65
1041	20240.96
1042	17709.37
1043	15557.80
1044	15038.20
1045	14155.61
1046	11884.98
1047	11986.10
1048	15842.05
1049	17159.13
1050	15860.05
1051	15568.34
1052	22386.00
1053	18192.95
1054	18894.05
1055	1695.51
1056	1829.35
1057	1946.64
1058	2036.53
1059	2054.61
1060	2144.17
1061	39170.71
1062	34185.28
1063	28216.55
1064	23297.05
1065	21798.23
1066	20198.76
1067	16546.01
1068	13703.72
1069	10276.58
1070	7518.27
1071	7002.48
1072	10563.14
1073	14776.52
1074	16123.68
1075	15087.22
1076	20653.36
1077	16849.16
1078	19215.59
1079	2099.50
1080	2344.96
1081	2440.69
1082	2561.50
1083	2648.04
1084	2733.88
1085	43964.95
1086	40235.74
1087	33632.14
1088	25068.59
1089	19109.30
1090	15396.86
1091	13957.51
1092	11553.08
1093	6861.47
1094	2599.11
1095	2310.60
1096	3200.14
1097	6137.63
1098	8317.63
1099	9117.18
1100	15461.91
1101	12286.53
1102	15365.61
1103	1804.04
1104	2030.07
1105	2199.55
1106	2350.86
1107	2472.92
1108	2574.69
1109	41980.09
1110	37676.33
1111	30985.68
1112	22230.80
1113	16779.94
1114	15001.16
1115	12286.06
1116	9608.93
1117	6235.11
1118	2445.48
1119	2192.52
1120	2965.93
1121	5460.68
1122	7104.35
1123	7322.60
1124	12201.77
1125	8133.48
1126	10275.83
1127	1311.47
1128	1562.34
1129	1739.42
1130	1911.68
1131	2055.07
1132	2210.05
1133	36104.97
1134	30404.76
1135	24875.72
1136	22197.41
1137	18636.21
1138	18156.34
1139	16464.27
1140	16967.38
1141	16902.12
1142	17484.92
1143	18090.87
1144	20116.96
1145	19550.25
1146	18800.09
1147	17075.40
1148	22723.26
1149	18416.87
1150	20558.93
1151	2118.70
1152	2287.50
1153	2418.44
1154	2615.06
1155	2745.21
1156	2885.83
1157	44379.90
1158	40729.04
1159	35461.38
1160	34606.71
1161	27051.56
1162	21679.45
1163	19771.51
1164	19267.11
1165	21280.93
1166	21739.09
1167	20177.98
1168	21239.46
1169	21199.59
1170	20534.03
1171	18737.23
1172	22843.76
1173	17452.25
1174	19124.80
1175	1758.05
1176	1866.56
1177	1862.88
1178	1841.63
1179	1902.08
1180	1952.75
1181	36808.07
1182	30449.47
1183	24090.98
1184	18608.43
1185	15699.54
1186	18684.82
1187	18695.15
1188	17578.65
1189	18372.51
1190	19397.47
1191	20187.45
1192	20756.65
1193	20747.70
1194	19094.93
1195	17662.63
1196	22889.48
1197	19520.40
1198	22495.45
1199	1971.69
1200	2101.99
1201	2173.79
1202	2092.92
1203	2180.98
1204	2330.79
1205	40649.51
1206	35158.82
1207	28555.58
1208	25444.20
1209	23118.04
1210	20653.98
1211	18799.28
1212	18148.81
1213	16929.89
1214	17018.54
1215	19976.25
1216	21625.90
1217	22521.75
1218	20771.72
1219	17472.95
1220	21633.34
1221	15663.64
1222	16915.98
1223	1587.54
1224	1718.92
1225	1893.52
1226	1915.89
1227	1896.38
1228	2017.17
1229	38642.28
1230	32393.72
1231	25215.87
1232	24009.72
1233	24193.21
1234	21992.23
1235	20515.13
1236	19526.49
1237	19065.98
1238	18771.22
1239	19522.23
1240	20098.91
1241	20597.91
1242	18899.27
1243	16249.20
1244	22145.23
1245	18037.88
1246	20062.51
1247	1821.78
1248	1948.22
1249	2060.11
1250	2139.39
1251	2159.85
1252	2174.70
1253	41004.74
1254	37471.79
1255	29957.89
1256	24428.04
1257	20029.95
1258	17473.46
1259	18310.45
1260	16998.20
1261	17608.58
1262	20624.72
1263	21551.85
1264	23416.77
1265	24345.77
1266	22011.17
1267	21238.25
1268	26998.68
1269	21819.26
1270	23673.14
1271	2181.63
1272	2273.05
1273	2369.90
1274	2553.52
1275	2648.21
1276	2582.13
1277	42727.64
1278	39535.49
1279	33829.78
1280	28320.85
1281	22754.70
1282	21389.02
1283	21036.17
1284	20466.87
1285	21064.76
1286	19675.71
1287	19016.35
1288	22091.28
1289	24969.05
1290	24530.27
1291	23335.15
1292	29400.15
1293	26762.59
1294	28671.84
1295	2782.86
1296	3078.29
1297	3255.24
1298	3321.93
1299	3411.84
1300	3592.97
1301	46588.53
1302	46632.78
1303	43224.48
1304	41214.22
1305	38764.11
1306	33741.32
1307	29655.50
1308	27264.24
1309	23172.39
1310	18958.74
1311	17420.81
1312	23019.08
1313	28733.85
1314	30132.79
1315	28767.00
1316	34683.64
1317	31940.27
1318	33935.35
1319	3447.29
1320	3616.13
1321	3680.39
1322	3845.75
1323	3888.60
1324	3997.33
1325	47328.72
1326	47589.74
1327	45684.04
1328	44222.39
1329	41024.07
1330	37843.94
1331	33997.79
1332	30171.42
1333	27763.43
1334	24056.21
1335	21530.85
1336	24132.38
